 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3665.45,3127,4614,3667.0,1,3,89.319
2,3674.294,3253,4366,3659.0,1,4,89.319
3,3671.761,3179,4345,3665.0,1,5,89.319
4,3683.073,3168,4301,3667.0,1,6,89.319
5,3672.954,3201,4294,3668.0,1,7,89.319
6,3685.647,3243,4471,3666.0,1,8,89.319
7,3693.236,3253,4673,3674.0,1,9,89.319
8,3683.843,3159,4440,3664.5,1,10,89.319
9,3678.873,3185,4400,3661.0,1,11,89.319
10,3682.217,3232,4403,3672.0,1,12,89.319
11,3681.833,3207,4387,3669.5,1,13,89.319
12,3660.639,3188,4458,3645.0,1,14,89.319
13,3650.48,3156,4342,3633.5,1,15,89.319
14,3668.803,3221,4278,3653.0,1,16,89.319
15,3677.753,3203,4328,3663.5,1,17,89.319
16,3668.645,3256,4443,3651.5,1,18,89.319
17,3656.836,3239,4555,3641.0,1,19,89.319
18,3670.709,3212,4448,3653.0,1,20,89.319
19,3683.325,3228,4345,3672.5,1,21,89.319
20,3660.915,3229,4664,3652.0,1,22,89.319
21,3662.097,3257,4254,3647.5,1,23,89.319
22,3669.174,3295,4341,3653.0,1,24,89.319
23,3636.365,3155,4361,3615.5,1,25,89.319
24,3664.157,3200,4558,3651.0,1,26,89.319
25,3635.225,3181,4276,3619.0,1,27,89.319
26,3651.882,3113,4564,3642.5,1,28,89.319
27,3635.903,3239,4202,3620.5,1,29,89.319
28,3633.316,3109,4381,3618.0,1,30,89.319
29,3641.108,3221,4241,3631.0,1,31,89.319
30,3640.842,3206,4401,3624.0,1,32,89.319
31,3647.456,3194,4217,3633.5,1,33,89.319
32,3636.872,3201,4514,3627.0,1,34,89.319
33,3647.845,3190,4279,3634.0,1,35,89.319
34,3632.81,3210,4204,3620.0,1,36,89.319
35,3611.906,3116,4177,3598.0,1,37,89.319
36,3611.434,3192,4316,3595.0,1,38,89.319
37,3609.35,3182,4186,3595.0,1,39,89.319
38,3609.93,3238,4369,3603.0,1,40,89.319
39,3612.05,3113,4169,3603.0,1,41,89.319
40,3598.39,3162,4137,3587.0,1,42,89.319
41,3596.226,3235,4114,3588.0,1,43,89.319
42,3575.93,3167,4138,3567.5,1,44,89.319
43,3584.239,3109,4366,3579.0,1,45,89.319
44,3578.906,3148,4195,3573.5,1,46,89.319
45,3579.991,3144,4037,3567.0,1,47,89.319
46,3591.279,3160,4240,3577.5,1,48,89.319
47,3574.022,3170,4117,3565.0,1,49,89.319
48,3580.741,3174,4204,3558.0,1,50,89.319
49,3586.178,3177,4075,3575.5,1,51,89.319
50,3571.459,3145,4139,3564.0,1,52,89.319
51,3590.852,3179,4224,3583.0,1,53,89.319
52,3565.76,3150,4162,3550.5,1,54,89.319
53,3559.22,3123,4211,3552.0,1,55,89.319
54,3557.393,3114,4129,3546.5,1,56,89.319
55,3557.426,3151,4154,3553.0,1,57,89.319
56,3584.228,3164,4188,3574.0,1,58,89.319
57,3558.222,3222,4137,3547.0,1,59,89.319
58,3570.061,3142,4158,3558.0,1,60,89.319
59,3554.076,3138,4251,3538.0,1,61,89.319
60,3563.01,3147,4248,3551.0,1,62,89.319
61,3556.258,3099,4151,3545.5,1,63,89.319
62,3548.221,3212,4356,3542.0,1,64,89.319
63,3555.427,3137,4185,3548.0,1,65,89.319
64,3554.542,3072,4221,3542.0,1,66,89.319
65,3557.802,3206,4103,3550.0,1,67,89.319
66,3553.764,3142,4174,3540.5,1,68,89.319
67,3560.006,3164,4083,3556.5,1,69,89.319
68,3555.304,3188,4088,3539.0,1,70,89.319
69,3559.627,3128,4062,3550.0,1,71,89.319
70,3556.646,3132,4088,3546.0,1,72,89.319
71,3580.063,3186,4191,3567.0,1,73,89.319
72,3573.079,3231,4191,3560.0,1,74,89.319
73,3561.802,3196,4062,3561.0,1,75,89.319
74,3563.587,3191,4252,3557.0,1,76,89.319
75,3574.653,3216,4133,3569.5,1,77,89.319
76,3565.039,3136,4115,3552.5,1,78,89.319
77,3561.681,3083,4008,3550.0,1,79,89.319
78,3554.452,3155,4148,3543.0,1,80,89.319
79,3559.851,3186,4006,3554.0,1,81,89.319
80,3554.118,3152,4073,3545.0,1,82,89.319
81,3561.908,3116,4151,3545.0,1,83,89.319
82,3554.804,3121,4314,3543.0,1,84,89.319
83,3558.673,3183,4083,3550.0,1,85,89.319
84,3551.978,3168,4103,3544.0,1,86,89.319
85,3560.819,3144,4073,3557.0,1,87,89.319
86,3559.409,3152,4125,3548.5,1,88,89.319
87,3547.36,3158,4043,3543.0,1,89,89.319
88,3561.463,3161,4280,3549.0,1,90,89.319
89,3546.379,3189,4041,3535.0,1,91,89.319
90,3542.306,3145,4026,3532.5,1,92,89.319
