 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3965.729,3458,4985,3949.000,1,3,70.611
2,3968.190,3434,4997,3950.500,1,4,70.611
3,3968.211,3452,4700,3952.500,1,5,70.611
4,3951.941,3446,4864,3931.500,1,6,70.611
5,3912.634,3411,4820,3896.500,1,7,70.611
6,3927.785,3343,4832,3915.000,1,8,70.611
7,3922.249,3387,4885,3907.000,1,9,70.611
8,3936.647,3249,4695,3931.000,1,10,70.611
9,3940.049,3449,4763,3928.500,1,11,70.611
10,3928.274,3205,4754,3906.500,1,12,70.611
11,3931.045,3380,4682,3927.500,1,13,70.611
12,3926.559,3388,4695,3912.500,1,14,70.611
13,3951.845,3420,4857,3933.000,1,15,70.611
14,3935.186,3368,4660,3916.000,1,16,70.611
15,3922.920,3428,4774,3910.000,1,17,70.611
16,3927.264,3343,4864,3918.500,1,18,70.611
17,3933.543,3395,4939,3904.500,1,19,70.611
18,3923.007,3343,4627,3918.500,1,20,70.611
19,3929.765,3431,4850,3901.500,1,21,70.611
20,3913.767,3313,4622,3893.500,1,22,70.611
21,3920.905,3246,4735,3908.500,1,23,70.611
22,3936.372,3317,4668,3919.000,1,24,70.611
23,3931.332,3317,4802,3916.500,1,25,70.611
24,3914.163,3364,4600,3902.000,1,26,70.611
25,3908.268,3433,4812,3894.500,1,27,70.611
26,3912.365,3391,4761,3897.500,1,28,70.611
27,3927.969,3420,4822,3909.000,1,29,70.611
28,3912.672,3356,4536,3898.000,1,30,70.611
29,3936.980,3412,4918,3921.000,1,31,70.611
30,3904.193,3291,4837,3878.000,1,32,70.611
31,3924.288,3394,4751,3903.000,1,33,70.611
32,3922.989,3403,4763,3897.000,1,34,70.611
33,3942.286,3410,4820,3926.000,1,35,70.611
34,3926.531,3415,5056,3903.000,1,36,70.611
35,3935.439,3361,4770,3923.500,1,37,70.611
36,3921.240,3433,4651,3914.500,1,38,70.611
37,3911.267,3318,4765,3906.500,1,39,70.611
38,3895.091,3383,4736,3885.500,1,40,70.611
39,3903.328,3247,4656,3889.500,1,41,70.611
40,3921.054,3309,5005,3904.000,1,42,70.611
41,3921.014,3313,4908,3900.500,1,43,70.611
42,3904.966,3267,4602,3890.000,1,44,70.611
43,3898.525,3321,4562,3880.500,1,45,70.611
44,3896.656,3372,4534,3876.500,1,46,70.611
45,3882.930,3302,5036,3875.500,1,47,70.611
46,3866.961,3362,4618,3853.000,1,48,70.611
47,3878.531,3295,4887,3857.500,1,49,70.611
48,3882.458,3304,4614,3862.500,1,50,70.611
49,3871.511,3377,4695,3847.000,1,51,70.611
50,3894.480,3357,4740,3888.000,1,52,70.611
51,3884.536,3342,4657,3864.000,1,53,70.611
52,3861.911,3350,4605,3846.500,1,54,70.611
53,3898.099,3229,4837,3891.000,1,55,70.611
54,3887.138,3332,4669,3870.500,1,56,70.611
55,3900.359,3346,4737,3882.000,1,57,70.611
56,3887.256,3365,4586,3883.000,1,58,70.611
57,3893.881,3345,4710,3873.500,1,59,70.611
58,3891.281,3346,4733,3868.000,1,60,70.611
59,3912.969,3387,4678,3894.500,1,61,70.611
60,3912.056,3356,4937,3899.500,1,62,70.611
61,3908.383,3321,4850,3898.000,1,63,70.611
62,3890.987,3399,4900,3864.500,1,64,70.611
63,3896.412,3278,4714,3884.000,1,65,70.611
64,3873.996,3346,4692,3866.000,1,66,70.611
65,3884.446,3366,4588,3869.000,1,67,70.611
66,3875.089,3222,4621,3848.000,1,68,70.611
67,3897.443,3352,4654,3881.500,1,69,70.611
68,3879.802,3203,4770,3866.500,1,70,70.611
69,3901.635,3380,4747,3885.000,1,71,70.611
70,3901.270,3400,4712,3897.000,1,72,70.611
71,3903.504,3262,4671,3885.000,1,73,70.611
72,3902.316,3296,4673,3893.000,1,74,70.611
73,3910.190,3357,4721,3889.500,1,75,70.611
74,3927.682,3340,4760,3906.000,1,76,70.611
75,3904.651,3394,4767,3878.000,1,77,70.611
76,3902.183,3270,4956,3885.500,1,78,70.611
77,3898.563,3356,4685,3872.000,1,79,70.611
78,3899.471,3235,4807,3882.000,1,80,70.611
79,3872.936,3288,4741,3857.000,1,81,70.611
80,3878.360,3356,4698,3860.500,1,82,70.611
81,3856.918,3340,5062,3838.000,1,83,70.611
82,3864.714,3322,4805,3837.500,1,84,70.611
83,3870.987,3300,4623,3847.000,1,85,70.611
84,3878.324,3319,4894,3859.000,1,86,70.611
85,3862.992,3294,4695,3837.500,1,87,70.611
86,3876.374,3360,4592,3865.000,1,88,70.611
87,3871.008,3341,4806,3844.500,1,89,70.611
88,3871.870,3229,5028,3848.500,1,90,70.611
89,3860.954,3366,4659,3839.500,1,91,70.611
90,3889.472,3330,4773,3867.500,1,92,70.611
