[sec],Mean
0.000,3232.0144
14.934,3223.4104
29.868,3212.2944
44.802,3227.2383
59.737,3232.8174
74.671,3224.7402
89.605,3225.9402
104.539,3219.7080
119.473,3217.7490
134.407,3203.3691
149.341,3215.8101
164.276,3211.5029
179.210,3211.5449
194.144,3213.9229
209.078,3214.6055
224.012,3215.8174
238.946,3216.1174
253.880,3211.2715
268.815,3221.2893
283.749,3226.9751
298.683,3226.4119
313.617,3219.5991
328.551,3205.2654
343.485,3219.6094
358.419,3220.5327
373.354,3227.9556
388.288,3217.5034
403.222,3214.9478
418.156,3228.8838
433.090,3220.2498
448.024,3216.8264
462.958,3229.7676
477.893,3231.0613
492.827,3225.3149
507.761,3224.0649
522.695,3217.9897
537.629,3218.5994
552.563,3216.4897
567.497,3214.5334
582.432,3212.0637
597.366,3217.5125
612.300,3229.6492
627.234,3222.3987
642.168,3224.4624
657.102,3219.3518
672.036,3227.0493
686.971,3220.1528
701.905,3216.0012
716.839,3236.6738
731.773,3221.2900
746.707,3219.0305
761.641,3220.0686
776.575,3223.1802
791.510,3224.9980
806.444,3217.0381
821.378,3225.4763
836.312,3218.6047
851.246,3222.8452
866.180,3223.7524
881.114,3221.2693
896.049,3222.8367
910.983,3218.3735
925.917,3226.1604
940.851,3225.2170
955.785,3219.6626
970.719,3229.6519
985.653,3214.6567
1000.588,3243.8145
1015.522,3225.6416
1030.456,3222.9077
1045.390,3224.7759
1060.324,3234.0173
1075.258,3233.2856
1090.192,3226.6904
1105.127,3234.9497
1120.061,3229.3306
1134.995,3228.2227
1149.929,3232.9392
1164.863,3234.3352
1179.797,3226.1990
1194.731,3233.2561
1209.666,3217.0752
1224.600,3215.9131
1239.534,3217.1340
1254.468,3222.0605
1269.402,3236.4263
1284.336,3232.3000
1299.271,3233.5417
1314.205,3234.8560
1329.139,3223.3127
1344.073,3222.5671
1359.007,3231.6636
1373.941,3218.3235
1388.875,3234.9287
1403.809,3218.4856
1418.744,3236.8113
1433.678,3230.2788
1448.612,3205.6282
1463.546,3227.7114
1478.480,3227.6411
1493.414,3225.8967
1508.348,3235.9600
1523.283,3232.7063
1538.217,3233.3738
1553.151,3225.5093
1568.085,3224.2476
1583.019,3232.9666
1597.953,3232.1028
1612.887,3219.9922
1627.822,3220.2297
1642.756,3224.3298
1657.690,3237.5120
1672.624,3235.7214
1687.558,3224.6807
1702.492,3232.8125
1717.427,3225.8547
1732.361,3231.6953
1747.295,3225.5662
1762.229,3221.6858
1777.163,3230.5625
1792.097,3223.0095
1807.031,3233.4050
1821.965,3222.4021
1836.900,3217.7451
1851.834,3222.0605
1866.768,3228.5750
1881.702,3224.6421
1896.636,3227.6279
1911.570,3224.9277
1926.504,3236.0161
1941.439,3236.0696
1956.373,3226.1064
1971.307,3229.3079
1986.241,3225.1753
2001.175,3228.9065
2016.109,3221.9917
2031.043,3230.7163
2045.978,3229.2212
2060.912,3221.9595
2075.846,3217.5308
2090.780,3229.6206
2105.714,3232.2292
2120.648,3234.0266
2135.583,3233.2153
2150.517,3223.5432
2165.451,3234.2778
2180.385,3243.4429
2195.319,3232.6526
2210.253,3233.6299
2225.187,3227.6880
2240.122,3230.9324
2255.056,3234.8264
2269.990,3238.2090
2284.924,3224.8748
2299.858,3228.7717
2314.792,3229.7539
2329.726,3219.1929
2344.660,3243.4299
2359.595,3241.7759
2374.529,3222.1062
2389.463,3239.2659
2404.397,3242.5237
2419.331,3231.7913
2434.265,3233.7888
2449.199,3233.3047
2464.134,3233.4873
2479.068,3237.7754
2494.002,3223.2314
2508.936,3222.9358
2523.870,3236.4465
2538.804,3237.8259
2553.739,3219.8530
2568.673,3226.4697
2583.607,3230.6143
2598.541,3231.4705
2613.475,3233.3999
2628.409,3236.4331
2643.343,3225.2087
2658.277,3225.1978
2673.212,3230.3276
2688.146,3225.6570
2703.080,3223.3411
2718.014,3232.0027
2732.948,3223.4189
2747.882,3233.5764
2762.816,3220.8279
2777.750,3231.6692
2792.685,3227.6091
2807.619,3228.2195
