 ,Mean,Min,Max,Angle,Median,Ch,Frame,Length
1,3349.859,2946,3754,-119.745,3344.500,2,1,72.560
2,3365.176,3139,3726,-119.745,3359.500,2,2,72.560
3,3359.893,3093,3756,-119.745,3348.000,2,3,72.560
4,3362.398,2997,3777,-119.745,3354.000,2,4,72.560
5,3350.889,3073,3741,-119.745,3341.000,2,5,72.560
6,3349.810,3070,3747,-119.745,3341.000,2,6,72.560
7,3344.582,3046,3716,-119.745,3342.000,2,7,72.560
8,3356.466,3080,3740,-119.745,3348.500,2,8,72.560
9,3351.564,3066,3745,-119.745,3342.000,2,9,72.560
10,3334.847,3077,3802,-119.745,3333.500,2,10,72.560
11,3339.115,3046,3739,-119.745,3335.000,2,11,72.560
12,3354.963,3067,3664,-119.745,3352.000,2,12,72.560
13,3350.598,3055,3692,-119.745,3344.000,2,13,72.560
14,3350.605,3117,3761,-119.745,3345.000,2,14,72.560
15,3338.601,3090,3776,-119.745,3330.500,2,15,72.560
16,3352.254,3026,3657,-119.745,3352.000,2,16,72.560
17,3349.892,3054,3830,-119.745,3340.000,2,17,72.560
18,3336.522,3059,3704,-119.745,3333.000,2,18,72.560
19,3335.653,3036,3596,-119.745,3336.000,2,19,72.560
20,3337.571,3060,3659,-119.745,3331.000,2,20,72.560
21,3343.316,3080,3763,-119.745,3343.000,2,21,72.560
22,3325.943,3000,3721,-119.745,3317.000,2,22,72.560
23,3340.011,3030,3714,-119.745,3335.000,2,23,72.560
24,3324.250,3035,3766,-119.745,3317.000,2,24,72.560
25,3339.398,3085,3658,-119.745,3340.000,2,25,72.560
26,3333.747,3081,3714,-119.745,3326.000,2,26,72.560
27,3330.608,3075,3766,-119.745,3327.500,2,27,72.560
28,3329.328,3045,3704,-119.745,3326.000,2,28,72.560
29,3336.224,3065,3725,-119.745,3331.000,2,29,72.560
30,3329.081,3054,3801,-119.745,3321.000,2,30,72.560
31,3344.226,3070,3676,-119.745,3339.000,2,31,72.560
32,3333.434,3074,3682,-119.745,3330.000,2,32,72.560
33,3342.918,3066,3741,-119.745,3339.000,2,33,72.560
34,3337.618,3081,3700,-119.745,3331.000,2,34,72.560
35,3336.599,3005,3701,-119.745,3330.000,2,35,72.560
36,3332.865,3038,3695,-119.745,3326.000,2,36,72.560
37,3328.449,3049,3672,-119.745,3322.000,2,37,72.560
38,3324.331,3052,3668,-119.745,3325.000,2,38,72.560
39,3334.466,3022,3708,-119.745,3322.000,2,39,72.560
40,3327.454,3049,3666,-119.745,3322.000,2,40,72.560
41,3332.799,3061,3690,-119.745,3330.000,2,41,72.560
42,3330.679,3095,3742,-119.745,3322.000,2,42,72.560
43,3330.278,3074,3712,-119.745,3329.000,2,43,72.560
44,3321.962,3065,3716,-119.745,3317.000,2,44,72.560
45,3331.105,3049,3813,-119.745,3328.000,2,45,72.560
46,3321.107,3060,3633,-119.745,3319.000,2,46,72.560
47,3319.940,3029,3744,-119.745,3315.000,2,47,72.560
48,3328.967,3091,3686,-119.745,3324.000,2,48,72.560
49,3333.554,3059,3706,-119.745,3328.000,2,49,72.560
50,3325.331,3052,3641,-119.745,3320.000,2,50,72.560
51,3329.279,3050,3702,-119.745,3321.000,2,51,72.560
52,3331.613,3038,3664,-119.745,3332.000,2,52,72.560
53,3327.553,3064,3617,-119.745,3323.000,2,53,72.560
54,3332.523,3051,3747,-119.745,3325.000,2,54,72.560
55,3328.312,3100,3658,-119.745,3323.000,2,55,72.560
56,3334.819,3053,3699,-119.745,3332.000,2,56,72.560
57,3332.735,3054,3644,-119.745,3328.000,2,57,72.560
58,3310.577,3002,3703,-119.745,3300.000,2,58,72.560
59,3328.897,3041,3732,-119.745,3323.000,2,59,72.560
60,3329.070,3066,3716,-119.745,3323.000,2,60,72.560
61,3332.227,3072,3728,-119.745,3323.000,2,61,72.560
62,3318.349,3058,3827,-119.745,3312.000,2,62,72.560
63,3327.346,3050,3679,-119.745,3320.000,2,63,72.560
64,3321.304,3020,3720,-119.745,3315.000,2,64,72.560
65,3327.148,3013,3746,-119.745,3318.000,2,65,72.560
66,3328.458,3046,3712,-119.745,3327.000,2,66,72.560
67,3333.922,3051,3787,-119.745,3324.000,2,67,72.560
68,3334.378,3076,3674,-119.745,3334.000,2,68,72.560
69,3332.782,3059,3677,-119.745,3321.000,2,69,72.560
70,3318.668,3018,3725,-119.745,3312.000,2,70,72.560
71,3327.367,3035,3619,-119.745,3325.000,2,71,72.560
72,3320.116,3022,3665,-119.745,3319.000,2,72,72.560
73,3328.881,3026,3711,-119.745,3322.000,2,73,72.560
74,3324.637,2980,3705,-119.745,3317.000,2,74,72.560
75,3322.755,3010,3621,-119.745,3320.000,2,75,72.560
76,3317.163,3001,3684,-119.745,3314.000,2,76,72.560
77,3326.413,3035,3770,-119.745,3324.000,2,77,72.560
78,3322.518,3053,3658,-119.745,3315.000,2,78,72.560
79,3329.432,3031,3613,-119.745,3325.000,2,79,72.560
80,3327.932,3037,3667,-119.745,3325.000,2,80,72.560
81,3323.042,3073,3688,-119.745,3318.000,2,81,72.560
82,3328.120,3072,3887,-119.745,3322.000,2,82,72.560
83,3320.725,3061,3681,-119.745,3314.000,2,83,72.560
84,3341.773,3041,3716,-119.745,3337.000,2,84,72.560
85,3323.982,3069,3694,-119.745,3318.000,2,85,72.560
86,3337.560,3084,3788,-119.745,3336.000,2,86,72.560
87,3323.810,3052,3799,-119.745,3315.000,2,87,72.560
88,3342.726,3098,3733,-119.745,3337.000,2,88,72.560
89,3329.286,2962,3702,-119.745,3326.000,2,89,72.560
90,3326.027,3052,3696,-119.745,3322.000,2,90,72.560
91,3329.227,3013,3646,-119.745,3323.000,2,91,72.560
92,3333.655,2980,3714,-119.745,3325.000,2,92,72.560
93,3336.434,3046,3790,-119.745,3332.000,2,93,72.560
94,3335.848,3048,3649,-119.745,3335.000,2,94,72.560
95,3324.509,3017,3603,-119.745,3319.000,2,95,72.560
96,3322.518,3006,3658,-119.745,3320.000,2,96,72.560
97,3320.844,3006,3664,-119.745,3316.000,2,97,72.560
98,3318.060,3026,3596,-119.745,3318.000,2,98,72.560
99,3320.665,3025,3728,-119.745,3319.000,2,99,72.560
100,3325.670,3049,3739,-119.745,3317.000,2,100,72.560
