 ,Mean,Min,Max,Angle,Median,Ch,Frame,Length
1,3952.497,3396,4804,-119.745,3941.000,1,1,72.560
2,3937.974,3427,4889,-119.745,3927.500,1,2,72.560
3,3912.061,3316,4826,-119.745,3890.500,1,3,72.560
4,3905.758,3357,4696,-119.745,3888.000,1,4,72.560
5,3870.516,3320,4621,-119.745,3849.000,1,5,72.560
6,3877.158,3378,4815,-119.745,3853.500,1,6,72.560
7,3856.373,3294,4724,-119.745,3839.000,1,7,72.560
8,3865.204,3348,4653,-119.745,3844.000,1,8,72.560
9,3847.951,3289,4855,-119.745,3829.000,1,9,72.560
10,3851.977,3406,4564,-119.745,3831.000,1,10,72.560
11,3853.186,3333,4657,-119.745,3841.000,1,11,72.560
12,3838.857,3183,4795,-119.745,3824.500,1,12,72.560
13,3824.533,3297,4555,-119.745,3809.500,1,13,72.560
14,3828.474,3300,4718,-119.745,3807.500,1,14,72.560
15,3840.702,3387,4681,-119.745,3816.000,1,15,72.560
16,3850.536,3408,4841,-119.745,3836.000,1,16,72.560
17,3839.280,3345,4644,-119.745,3827.500,1,17,72.560
18,3844.984,3347,4544,-119.745,3827.000,1,18,72.560
19,3843.057,3380,4700,-119.745,3830.000,1,19,72.560
20,3840.134,3271,4702,-119.745,3821.000,1,20,72.560
21,3837.798,3266,4706,-119.745,3811.500,1,21,72.560
22,3829.257,3322,4644,-119.745,3809.500,1,22,72.560
23,3843.995,3359,4867,-119.745,3819.000,1,23,72.560
24,3845.843,3328,4861,-119.745,3834.000,1,24,72.560
25,3838.273,3301,4729,-119.745,3819.000,1,25,72.560
26,3813.628,3375,4505,-119.745,3791.000,1,26,72.560
27,3840.444,3311,4620,-119.745,3816.500,1,27,72.560
28,3836.902,3305,4714,-119.745,3811.500,1,28,72.560
29,3833.201,3257,4926,-119.745,3813.000,1,29,72.560
30,3829.689,3247,4865,-119.745,3801.000,1,30,72.560
31,3824.164,3331,4695,-119.745,3803.000,1,31,72.560
32,3819.090,3207,4676,-119.745,3805.000,1,32,72.560
33,3829.445,3316,4622,-119.745,3809.000,1,33,72.560
34,3834.681,3348,4767,-119.745,3817.000,1,34,72.560
35,3835.633,3326,4573,-119.745,3821.000,1,35,72.560
36,3831.482,3370,4688,-119.745,3806.000,1,36,72.560
37,3820.090,3237,4623,-119.745,3794.000,1,37,72.560
38,3842.317,3312,4718,-119.745,3832.000,1,38,72.560
39,3823.033,3233,4870,-119.745,3799.000,1,39,72.560
40,3828.290,3385,4724,-119.745,3801.000,1,40,72.560
41,3810.795,3253,4762,-119.745,3797.000,1,41,72.560
42,3825.435,3292,4913,-119.745,3812.000,1,42,72.560
43,3824.744,3356,4658,-119.745,3814.000,1,43,72.560
44,3819.312,3229,4698,-119.745,3796.000,1,44,72.560
45,3832.590,3321,4668,-119.745,3808.000,1,45,72.560
46,3824.442,3294,4657,-119.745,3808.000,1,46,72.560
47,3825.837,3358,4569,-119.745,3810.000,1,47,72.560
48,3835.137,3235,4649,-119.745,3832.000,1,48,72.560
49,3838.814,3377,4598,-119.745,3833.000,1,49,72.560
50,3820.766,3342,4526,-119.745,3807.000,1,50,72.560
51,3819.867,3259,4882,-119.745,3803.000,1,51,72.560
52,3824.293,3325,4707,-119.745,3815.000,1,52,72.560
53,3822.926,3285,4676,-119.745,3805.000,1,53,72.560
54,3806.833,3319,4610,-119.745,3791.000,1,54,72.560
55,3811.655,3317,4656,-119.745,3797.000,1,55,72.560
56,3803.159,3333,4434,-119.745,3784.000,1,56,72.560
57,3805.016,3288,4533,-119.745,3776.000,1,57,72.560
58,3805.948,3264,4661,-119.745,3795.000,1,58,72.560
59,3804.860,3269,4569,-119.745,3782.000,1,59,72.560
60,3784.798,3233,4506,-119.745,3768.000,1,60,72.560
61,3784.078,3249,4417,-119.745,3769.000,1,61,72.560
62,3768.250,3264,4614,-119.745,3751.000,1,62,72.560
63,3788.967,3317,4492,-119.745,3774.000,1,63,72.560
64,3798.580,3333,4405,-119.745,3789.000,1,64,72.560
65,3783.456,3256,4558,-119.745,3774.000,1,65,72.560
66,3778.784,3335,4378,-119.745,3772.000,1,66,72.560
67,3790.142,3327,4600,-119.745,3775.000,1,67,72.560
68,3769.052,3324,4631,-119.745,3753.000,1,68,72.560
69,3775.423,3255,4484,-119.745,3771.000,1,69,72.560
70,3766.354,3283,4579,-119.745,3752.000,1,70,72.560
71,3778.561,3302,4478,-119.745,3774.000,1,71,72.560
72,3762.798,3226,4313,-119.745,3747.000,1,72,72.560
73,3764.963,3262,4433,-119.745,3750.000,1,73,72.560
74,3766.938,3177,4457,-119.745,3752.000,1,74,72.560
75,3762.746,3286,4400,-119.745,3749.000,1,75,72.560
76,3737.852,3182,4307,-119.745,3729.000,1,76,72.560
77,3774.560,3244,4460,-119.745,3766.000,1,77,72.560
78,3765.363,3360,4482,-119.745,3761.000,1,78,72.560
79,3749.949,3217,4437,-119.745,3745.000,1,79,72.560
80,3755.624,3214,4475,-119.745,3741.000,1,80,72.560
81,3759.231,3228,4500,-119.745,3753.000,1,81,72.560
82,3748.784,3299,4519,-119.745,3749.000,1,82,72.560
83,3739.707,3245,4342,-119.745,3736.000,1,83,72.560
84,3755.869,3347,4356,-119.745,3740.000,1,84,72.560
85,3762.724,3307,4512,-119.745,3747.000,1,85,72.560
86,3744.549,3339,4482,-119.745,3735.000,1,86,72.560
87,3751.226,3280,4376,-119.745,3751.000,1,87,72.560
88,3770.490,3236,4384,-119.745,3763.000,1,88,72.560
89,3728.063,3184,4556,-119.745,3704.000,1,89,72.560
90,3769.781,3366,4643,-119.745,3756.000,1,90,72.560
91,3759.384,3259,4324,-119.745,3747.000,1,91,72.560
92,3772.587,3264,4519,-119.745,3750.000,1,92,72.560
93,3753.654,3317,4346,-119.745,3734.000,1,93,72.560
94,3746.622,3269,4751,-119.745,3736.000,1,94,72.560
95,3740.610,3269,4336,-119.745,3719.000,1,95,72.560
96,3751.097,3261,4518,-119.745,3736.000,1,96,72.560
97,3754.832,3240,4539,-119.745,3747.000,1,97,72.560
98,3746.613,3253,4443,-119.745,3731.000,1,98,72.560
99,3743.471,3334,4614,-119.745,3725.000,1,99,72.560
100,3746.741,3270,4322,-119.745,3741.000,1,100,72.560
