[sec],Mean
0.000,3235.2139
6.704,3244.6650
13.408,3228.0793
20.112,3247.0642
26.816,3242.3979
33.520,3239.0293
40.224,3246.2844
46.928,3238.3237
53.632,3231.9333
60.336,3252.1475
67.040,3236.4351
73.744,3242.4153
80.448,3245.0295
87.152,3249.6309
93.856,3223.2297
100.560,3229.4080
107.264,3234.9775
113.968,3244.4585
120.672,3229.4973
127.376,3235.7517
134.080,3242.9705
140.784,3232.0522
147.488,3234.4961
154.192,3235.1077
160.896,3232.9561
167.600,3243.5713
174.304,3231.2014
181.008,3248.6199
187.712,3227.5034
194.416,3239.9124
201.120,3235.2393
207.824,3238.2808
214.528,3245.3250
221.232,3245.1895
227.936,3234.3467
234.640,3232.9004
241.344,3236.9399
248.048,3244.9595
254.752,3238.0291
261.456,3239.0735
268.160,3240.7466
274.864,3234.6084
281.568,3243.2107
288.272,3237.8552
294.976,3240.2678
301.680,3239.2305
308.384,3237.0591
315.088,3233.9463
321.792,3224.9919
328.496,3243.3918
335.200,3242.7849
341.904,3234.4724
348.608,3236.8496
355.312,3223.6121
362.016,3235.4062
368.720,3223.6223
375.424,3234.8062
382.128,3228.1880
388.832,3234.9644
395.536,3242.5308
402.240,3238.2734
408.944,3241.5818
415.648,3228.5012
422.352,3237.6646
429.056,3234.0886
435.760,3237.1174
442.464,3235.7417
449.168,3227.5034
455.872,3246.9688
462.576,3234.7424
469.280,3227.0933
475.984,3251.9062
482.688,3225.1455
489.392,3234.9866
496.096,3231.8796
502.800,3239.3462
509.504,3232.2297
516.208,3227.5920
522.912,3235.1311
529.616,3232.4182
536.320,3241.7656
543.024,3232.6392
549.728,3233.8826
556.432,3230.1321
563.136,3239.8296
569.840,3231.6589
576.544,3242.8164
583.248,3231.8237
589.952,3239.2021
596.656,3229.0232
603.360,3222.7466
610.064,3224.2520
616.768,3231.2964
623.472,3234.2922
630.176,3240.1667
636.880,3239.2678
643.584,3237.4468
650.288,3253.8962
656.992,3238.8979
663.696,3238.4211
670.400,3224.8477
677.104,3240.7729
683.808,3242.2124
690.512,3234.8066
697.216,3232.7441
703.920,3230.5469
710.624,3234.0332
717.328,3246.7974
724.032,3239.1223
730.736,3236.1199
737.440,3233.4766
744.144,3239.9019
750.848,3238.9104
757.552,3230.0647
764.256,3237.0361
770.960,3235.5405
777.664,3233.1768
784.368,3231.8665
791.072,3241.2910
797.776,3226.1111
804.480,3239.0593
811.184,3228.0583
817.888,3239.9189
824.592,3232.8618
831.296,3234.8325
838.000,3242.9426
844.704,3235.6345
851.408,3239.0022
858.112,3222.6313
864.816,3236.0583
871.520,3238.8208
878.224,3238.3230
