 ,Mean,Min,Max,Median,Ch,Frame,Length
1,3789.102,3324,4692,3771.5,1,2,72.069
2,3745.926,3225,4792,3733.5,1,3,72.069
3,3767.14,3322,4679,3750.5,1,4,72.069
4,3765.41,3277,4681,3741.5,1,5,72.069
5,3741.411,3278,4383,3724.0,1,6,72.069
6,3748.074,3280,4443,3736.0,1,7,72.069
7,3732.33,3184,4543,3723.0,1,8,72.069
8,3722.3,3297,4557,3705.5,1,9,72.069
9,3730.305,3242,4612,3712.0,1,10,72.069
10,3711.029,3183,4283,3698.5,1,11,72.069
11,3708.703,3321,4413,3696.0,1,12,72.069
12,3697.089,3192,4350,3688.0,1,13,72.069
13,3700.014,3212,4437,3686.0,1,14,72.069
14,3684.21,3311,4283,3675.5,1,15,72.069
15,3686.751,3312,4621,3671.0,1,16,72.069
16,3679.718,3222,4465,3664.0,1,17,72.069
17,3680.808,3246,4500,3666.0,1,18,72.069
18,3673.292,3170,4359,3658.0,1,19,72.069
19,3689.726,3153,4338,3676.0,1,20,72.069
20,3675.959,3264,4342,3670.0,1,21,72.069
21,3656.888,3178,4278,3640.0,1,22,72.069
22,3663.294,3262,4267,3651.5,1,23,72.069
23,3663.59,3221,4452,3645.0,1,24,72.069
24,3646.965,3249,4430,3631.0,1,25,72.069
25,3665.144,3243,4332,3650.0,1,26,72.069
26,3645.157,3168,4345,3625.5,1,27,72.069
27,3670.608,3232,4345,3652.5,1,28,72.069
28,3651.031,3239,4258,3634.0,1,29,72.069
29,3663.501,3306,4279,3652.0,1,30,72.069
30,3650.94,3235,4205,3643.0,1,31,72.069
31,3660.572,3250,4300,3644.5,1,32,72.069
32,3660.7,3035,4281,3647.0,1,33,72.069
33,3663.056,3235,4246,3650.0,1,34,72.069
34,3646.497,3243,4275,3632.0,1,35,72.069
35,3629.924,3165,4354,3618.5,1,36,72.069
36,3637.666,3252,4133,3630.5,1,37,72.069
37,3635.609,3224,4210,3629.0,1,38,72.069
38,3623.185,3147,4251,3618.0,1,39,72.069
39,3621.061,3184,4244,3618.0,1,40,72.069
40,3628.249,3219,4275,3620.5,1,41,72.069
41,3624.666,3174,4381,3613.5,1,42,72.069
42,3622.861,3231,4179,3622.0,1,43,72.069
43,3624.623,3191,4213,3614.0,1,44,72.069
44,3625.54,3184,4239,3612.5,1,45,72.069
45,3619.872,3211,4105,3616.5,1,46,72.069
46,3604.129,3219,4093,3598.0,1,47,72.069
47,3590.613,3185,4384,3573.0,1,48,72.069
48,3597.869,3183,4248,3584.5,1,49,72.069
49,3610.057,3154,4203,3603.5,1,50,72.069
50,3613.396,3222,4162,3603.0,1,51,72.069
51,3602.623,3099,4269,3586.5,1,52,72.069
52,3597.026,3234,4145,3587.5,1,53,72.069
53,3573.778,3090,4162,3572.0,1,54,72.069
54,3584.203,3157,4102,3578.0,1,55,72.069
55,3576.165,3151,3981,3567.5,1,56,72.069
56,3589.503,3155,4546,3578.5,1,57,72.069
57,3571.195,3208,4119,3563.0,1,58,72.069
58,3581.358,3178,4133,3567.5,1,59,72.069
59,3581.857,3190,4183,3570.0,1,60,72.069
60,3574.324,3209,4105,3562.5,1,61,72.069
61,3573.504,3229,4084,3567.5,1,62,72.069
62,3556.496,3238,4503,3548.5,1,63,72.069
63,3567.798,3173,4210,3552.0,1,64,72.069
64,3571.856,3186,4067,3561.5,1,65,72.069
65,3576.319,3158,4132,3566.0,1,66,72.069
66,3602.96,3221,4286,3595.0,1,67,73.439
67,3599.118,3218,4130,3587.0,1,68,73.439
68,3609.671,3198,4298,3596.0,1,69,73.439
69,3585.868,3213,4240,3580.0,1,70,73.439
70,3585.38,3241,4218,3579.0,1,71,73.439
71,3602.169,3203,4155,3597.0,1,72,73.439
72,3576.184,3144,4131,3569.0,1,73,73.439
73,3567.499,3183,4185,3557.0,1,74,73.439
74,3573.699,3185,4119,3565.0,1,75,73.439
75,3579.812,3245,4018,3571.0,1,76,73.439
76,3572.719,3146,4106,3563.0,1,77,73.439
77,3569.017,3236,4145,3557.0,1,78,73.439
78,3574.364,3174,4080,3554.0,1,79,73.439
79,3562.035,3156,4220,3560.0,1,80,73.439
80,3578.393,3172,4128,3563.0,1,81,73.439
81,3569.691,3221,4242,3551.0,1,82,73.439
82,3559.74,3111,4134,3546.0,1,83,73.439
83,3555.566,3048,4231,3545.0,1,84,73.439
84,3570.376,3163,4076,3561.0,1,85,73.439
85,3568.612,3057,4192,3566.0,1,86,73.439
86,3569.581,3141,4061,3563.0,1,87,73.439
87,3562.291,3180,3995,3557.0,1,88,73.439
88,3557.792,3134,4058,3553.0,1,89,73.439
89,3548.8,3062,4014,3542.0,1,90,73.439
90,3555.783,3134,4121,3548.0,1,91,73.439
