 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4219.033,3525,5361,4206,1,6,62.510
2,4231.895,3619,5267,4216,1,7,62.510
3,3898.391,3384,4743,3889,1,8,62.510
4,3953.700,3360,4617,3938,1,9,62.510
5,4009.181,3448,4756,3995,1,10,62.510
6,4016.878,3555,4781,4006,1,11,62.510
7,4047.730,3445,4816,4039,1,12,62.510
8,4055.289,3373,5409,4048,1,13,62.510
9,4044.684,3423,4987,4038,1,14,62.510
10,4021.019,3366,4966,4016,1,15,62.510
11,4031.355,3436,4908,4018,1,16,62.510
12,4010.052,3446,5041,4005,1,17,62.510
13,4026.709,3400,4875,3992,1,18,62.510
14,4023.919,3404,5157,4012,1,19,62.510
15,4038.647,3362,4865,4024,1,20,62.510
16,4065.331,3453,4837,4059,1,21,62.510
17,4050.967,3409,4906,4045,1,22,62.510
18,4041.839,3406,4770,4031,1,23,62.510
19,4055.746,3491,4989,4037,1,24,62.510
20,4038.175,3413,5002,4022,1,25,62.510
21,4074.955,3432,4922,4053,1,26,62.510
22,4039.804,3403,4895,4030,1,27,62.510
23,4052.587,3449,4749,4041,1,28,62.510
24,4039.828,3451,4899,4029,1,29,62.510
25,4056.180,3440,4972,4048,1,30,62.510
26,4034.006,3413,5065,4025,1,31,62.510
27,4052.041,3471,4728,4041,1,32,62.510
28,4015.394,3407,4685,4006,1,33,62.510
29,4020.223,3436,4839,4007,1,34,62.510
30,4013.750,3310,4988,4006,1,35,62.510
31,4027.130,3491,4944,4019,1,36,62.510
32,4035.165,3469,5020,4021,1,37,62.510
33,4017.626,3484,4888,4006,1,38,62.510
34,4027.420,3466,4698,4019,1,39,62.510
35,4032.795,3448,4778,4008,1,40,62.510
36,4034.663,3416,5045,4016,1,41,62.510
37,4034.056,3423,4789,4024,1,42,62.510
38,4020.010,3413,4785,4011,1,43,62.510
39,4025.614,3437,4833,4011,1,44,62.510
40,4000.498,3495,5062,3991,1,45,62.510
41,4039.599,3401,4998,4027,1,46,62.510
42,4044.014,3358,4908,4033,1,47,62.510
43,4062.240,3477,4911,4039,1,48,62.510
44,4065.553,3447,5099,4047,1,49,62.510
45,4042.022,3425,5008,4019,1,50,62.510
46,4022.752,3371,4935,4005,1,51,62.510
47,4045.192,3435,4938,4037,1,52,62.510
48,4024.328,3313,4961,4011,1,53,62.510
49,4026.795,3500,4897,4021,1,54,62.510
50,4027.892,3431,4803,4022,1,55,62.510
51,4035.060,3258,4773,4039,1,56,62.510
52,4015.226,3402,4748,4011,1,57,62.510
53,4009.661,3270,4942,4006,1,58,62.510
54,3985.040,3350,4894,3973,1,59,62.510
55,4002.707,3438,4666,3990,1,60,62.510
56,4016.808,3418,5000,4005,1,61,62.510
57,3988.653,3363,4865,3975,1,62,62.510
58,3989.932,3390,4871,3981,1,63,62.510
59,3997.572,3438,4867,3980,1,64,62.510
60,4013.440,3400,4767,3990,1,65,62.510
61,3979.019,3417,4683,3964,1,66,62.510
62,3987.374,3327,5018,3974,1,67,62.510
63,3974.909,3412,5077,3970,1,68,62.510
64,3961.302,3317,4730,3952,1,69,62.510
65,3951.625,3335,4692,3934,1,70,62.510
66,3928.417,3335,5042,3925,1,71,62.510
67,3956.258,3405,4814,3935,1,72,62.510
68,3951.102,3283,4744,3949,1,73,62.510
69,3954.067,3396,4772,3946,1,74,62.510
70,3973.250,3293,4583,3966,1,75,62.510
71,3969.755,3402,4901,3958,1,76,62.510
72,3967.652,3353,4943,3954,1,77,62.510
73,3956.644,3414,4745,3938,1,78,62.510
74,3961.107,3358,4647,3951,1,79,62.510
75,3979.091,3368,4947,3969,1,80,62.510
76,3988.523,3514,4871,3979,1,81,62.510
77,3971.727,3299,4634,3957,1,82,62.510
78,3987.440,3430,4725,3984,1,83,62.510
79,3973.927,3358,4752,3959,1,84,62.510
80,3989.402,3407,4805,3975,1,85,62.510
81,3955.043,3406,5123,3931,1,86,62.510
82,3960.997,3349,4857,3953,1,87,62.510
83,3956.674,3393,4774,3934,1,88,62.510
