 ,Mean,Min,Max,Median,Ch,Frame,Length
1,5267.988,3919,6851,5299.0,1,4,59.415
2,5224.224,3759,6517,5213.0,1,5,59.415
3,4329.55,3404,5586,4318.5,1,6,59.415
4,4614.031,3793,5681,4610.5,1,7,59.415
5,4584.465,3312,6082,4592.0,1,8,59.415
6,4641.474,3343,5768,4666.5,1,9,59.415
7,4648.513,3319,6107,4671.0,1,10,59.415
8,4673.139,3290,6402,4709.5,1,11,59.415
9,4756.097,3225,6266,4780.5,1,12,59.415
10,4730.919,3337,6330,4744.5,1,13,59.415
11,4719.084,3276,6068,4758.5,1,14,59.415
12,4767.82,3241,6030,4820.0,1,15,59.415
13,4748.812,3324,6024,4790.5,1,16,59.415
14,4808.051,3255,6111,4851.5,1,17,59.415
15,4784.642,3436,6684,4853.0,1,18,59.415
16,4840.997,3367,6087,4906.0,1,19,59.415
17,4778.366,3445,6485,4832.0,1,20,59.415
18,4771.408,3403,6222,4857.5,1,21,59.415
19,4726.761,3258,6412,4809.0,1,22,59.415
20,4739.041,3216,6352,4840.0,1,23,59.415
21,4691.282,3317,6380,4773.0,1,24,59.415
22,4732.193,3229,6438,4823.0,1,25,59.415
23,4807.827,3264,6059,4882.0,1,26,59.415
24,4811.95,3395,6169,4884.0,1,27,59.415
25,4806.708,3298,6640,4879.0,1,28,59.415
26,4774.317,3285,6159,4856.5,1,29,59.415
27,4789.472,3341,6060,4837.5,1,30,59.415
28,4846.442,3406,6335,4874.0,1,31,59.415
29,4849.545,3414,6340,4902.0,1,32,59.415
30,4837.198,3249,6383,4900.5,1,33,59.415
31,4843.191,3421,6079,4886.0,1,34,59.415
32,4780.921,3330,5912,4857.5,1,35,59.415
33,4787.129,3350,6270,4853.5,1,36,59.415
34,4757.092,3292,6211,4835.5,1,37,59.415
35,4833.416,3290,6096,4882.0,1,38,61.798
36,4814.215,3325,6272,4845.0,1,39,61.798
37,4796.679,3316,6678,4819.0,1,40,62.541
38,4795.942,3464,6301,4843.0,1,41,62.541
39,4809.14,3238,6443,4868.0,1,42,62.541
40,4776.972,3358,6066,4854.0,1,43,62.541
41,4815.573,3384,6468,4845.0,1,44,62.541
42,4833.109,3558,6182,4837.0,1,45,62.541
43,4842.219,3351,6444,4866.0,1,46,62.541
44,4837.679,3480,6405,4840.0,1,47,62.541
45,4845.176,3500,6079,4851.0,1,48,62.541
46,4858.969,3420,6078,4854.0,1,49,62.541
47,4827.957,3612,6348,4844.0,1,50,62.541
48,4849.019,3628,6479,4840.0,1,51,62.541
49,4844.506,3536,6024,4849.0,1,52,62.541
50,4856.315,3619,6200,4871.0,1,53,62.541
51,4840.181,3493,6079,4823.0,1,54,62.541
52,4797.926,3690,6117,4797.0,1,55,62.541
53,4830.661,3748,6291,4815.0,1,56,62.541
54,4791.277,3698,6025,4780.0,1,57,62.541
55,4805.458,3532,6057,4797.0,1,58,62.541
56,4772.406,3588,5852,4773.0,1,59,62.541
57,4705.598,3524,6151,4705.0,1,60,62.541
58,4696.184,3527,5822,4685.0,1,61,62.541
59,4712.178,3585,5798,4752.0,1,62,62.541
60,4747.072,3621,5998,4765.0,1,63,62.541
61,4775.865,3690,6087,4760.0,1,64,62.541
62,4733.513,3638,6091,4728.0,1,65,62.668
63,4730.39,3687,6523,4710.5,1,66,62.668
64,4700.857,3434,6184,4698.0,1,67,62.668
65,4741.016,3466,5929,4739.0,1,68,62.668
66,4726.635,3584,6229,4734.5,1,69,62.668
67,4776.865,3779,6298,4762.0,1,70,62.668
68,4734.569,3831,6374,4696.0,1,71,62.668
69,4781.816,3670,5891,4772.0,1,72,62.668
70,4714.597,3407,5888,4697.5,1,73,62.715
71,4765.458,3545,6283,4759.5,1,74,62.715
72,4724.613,3598,6082,4710.5,1,75,62.715
73,4727.599,3529,6404,4705.0,1,76,62.715
74,4732.986,3721,6194,4734.5,1,77,64.01
75,4763.265,3736,6049,4736.0,1,78,64.01
76,4758.131,3605,5912,4755.0,1,79,64.01
77,4740.109,3709,6182,4725.5,1,80,64.01
78,4686.138,3714,5945,4669.5,1,81,64.01
79,4698.457,3404,6108,4677.5,1,82,64.01
80,4669.312,3534,5851,4647.0,1,83,64.572
81,4628.896,3687,5852,4610.0,1,84,64.572
82,4642.998,3620,5849,4641.0,1,85,64.572
83,4632.191,3591,6275,4635.0,1,86,64.572
