 ,Mean,Min,Max,Median,Ch,Frame,Length
1,4394.621,3690,5288,4381,1,4,62.184
2,4396.769,3749,5296,4373,1,5,62.184
3,4414.883,3726,6105,4389,1,6,62.184
4,4398.959,3547,5838,4369,1,7,62.184
5,4366.983,3610,5836,4339,1,8,62.184
6,4352.735,3573,5863,4321,1,9,62.184
7,4308.678,3650,5501,4281,1,10,62.184
8,4266.468,3479,5465,4246,1,11,62.184
9,4235.811,3542,5384,4203,1,12,62.184
10,4230.385,3560,5091,4202,1,13,62.184
11,4230.079,3533,5435,4209,1,14,62.184
12,4211.821,3635,5095,4181,1,15,62.184
13,4197.108,3560,5316,4172,1,16,62.184
14,4197.410,3609,5305,4169,1,17,62.184
15,4170.856,3530,5161,4150,1,18,62.184
16,4190.640,3554,5301,4159,1,19,62.184
17,4186.559,3474,5162,4182,1,20,62.184
18,4184.724,3537,5517,4155,1,21,62.184
19,4222.219,3545,5166,4196,1,22,62.184
20,4193.132,3530,5275,4181,1,23,62.184
21,4204.926,3493,5342,4180,1,24,62.184
22,4204.410,3561,5402,4183,1,25,62.184
23,4224.693,3543,5268,4210,1,26,62.184
24,4218.837,3567,5765,4172,1,27,62.184
25,4243.932,3526,5226,4213,1,28,62.184
26,4231.008,3358,5357,4204,1,29,62.184
27,4212.412,3516,5348,4192,1,30,62.184
28,4216.712,3571,5312,4188,1,31,62.184
29,4226.509,3550,5382,4206,1,32,62.184
30,4211.995,3552,5086,4192,1,33,62.184
31,4185.287,3603,5335,4166,1,34,62.184
32,4202.941,3523,5080,4193,1,35,62.184
33,4202.805,3518,5455,4192,1,36,62.184
34,4193.033,3534,5136,4190,1,37,62.184
35,4167.391,3584,4924,4154,1,38,62.184
36,4148.918,3589,4974,4135,1,39,62.184
37,4144.311,3531,5060,4129,1,40,62.184
38,4120.870,3478,4884,4112,1,41,62.184
39,4122.876,3486,5393,4117,1,42,62.184
40,4129.655,3592,5198,4115,1,43,62.184
41,4120.250,3484,4933,4106,1,44,62.184
42,4139.555,3471,4970,4107,1,45,62.184
43,4118.483,3510,4972,4108,1,46,62.184
44,4132.391,3508,5030,4115,1,47,62.184
45,4120.285,3461,4976,4106,1,48,62.184
46,4108.545,3524,4870,4096,1,49,62.184
47,4101.967,3440,4837,4096,1,50,62.184
48,4128.360,3429,4880,4118,1,51,62.184
49,4128.544,3574,4999,4105,1,52,62.184
50,4114.307,3405,5028,4107,1,53,62.184
51,4131.880,3606,4984,4114,1,54,62.184
52,4133.542,3547,4849,4126,1,55,62.184
53,4119.715,3522,5007,4099,1,56,62.184
54,4132.109,3425,4833,4132,1,57,62.184
55,4141.171,3558,4849,4131,1,58,62.184
56,4104.731,3514,5199,4083,1,59,62.184
57,4100.021,3444,4919,4095,1,60,62.184
58,4088.732,3566,4930,4073,1,61,62.184
59,4081.539,3513,4762,4077,1,62,62.184
60,4077.132,3518,5087,4052,1,63,62.184
61,4088.051,3396,4948,4082,1,64,62.184
62,4083.707,3414,4859,4076,1,65,62.184
63,4080.204,3434,4803,4057,1,66,62.184
64,4090.532,3434,4776,4089,1,67,62.184
65,4094.973,3455,4858,4084,1,68,62.184
66,4061.260,3446,4812,4051,1,69,62.184
67,4074.781,3575,4736,4067,1,70,62.184
68,4059.491,3501,4829,4035,1,71,62.184
69,4069.130,3388,4925,4075,1,72,62.184
70,4070.336,3519,4911,4065,1,73,62.184
71,4055.493,3470,4949,4043,1,74,62.184
72,4043.090,3507,4703,4042,1,75,62.184
73,4037.146,3478,4719,4030,1,76,62.184
74,4035.829,3433,4664,4021,1,77,62.184
75,4043.149,3493,5253,4032,1,78,62.184
76,4048.631,3460,4862,4049,1,79,62.184
77,4047.601,3436,4918,4042,1,80,62.184
78,4064.861,3494,5091,4051,1,81,62.184
79,4054.120,3465,4857,4049,1,82,62.184
80,4038.705,3457,4847,4022,1,83,62.184
81,4035.295,3438,4808,4028,1,84,62.184
82,4033.418,3388,4895,4023,1,85,62.184
83,4018.412,3555,4751,3993,1,86,62.184
