 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20201119_Oocyte3,3527.223,3351.888,3226.893,3503.000,3344,3225.000,3545.182,3449.369,3231.745,3527.000,3432,3233.000
2,0,20201119_Oocyte5,3604.503,3439.573,3242.977,3592.000,3429,3244.000,3447.607,3494.185,3220.476,3436.000,3471,3220.000
3,0,20201119_Oocyte7,3548.277,3332.209,3230.730,3529.000,3325,3229.000,3607.306,3466.319,3237.340,3595.000,3453,3236.000
4,0,20201120_Oocyte3,3593.867,3406.657,3228.243,3564.000,3396,3228.000,3575.784,3434.703,3228.852,3550.500,3423,3226.500
5,0,20201124_Oocyte1,3843.839,3585.986,3239.395,3806.000,3566,3235.500,4126.985,3820.798,3236.846,4097.000,3800,3240.000
6,0,20201126_Oocyte1,3475.944,3385.618,3243.629,3464.000,3377,3241.000,3560.485,3559.654,3239.446,3547.000,3547,3238.000
7,0,20201126_Oocyte3,3628.282,3351.875,3233.894,3607.000,3345,3234.000,3659.260,3524.082,3247.124,3644.000,3510,3246.000
8,0,20201127_Oocyte1,3646.746,3423.667,3253.056,3628.000,3407,3252.000,3471.581,3374.823,3233.817,3459.000,3373,3235.000
9,0,20201130_Oocyte3,3422.173,3326.367,3239.548,3416.500,3319,3242.000,3409.944,3438.391,3234.139,3401.000,3421,3233.500
10,0,20201203_Oocyte1,3414.366,3340.940,3237.380,3410.500,3337,3237.000,3397.906,3371.779,3212.523,3388.000,3359,3212.500
