 ,,name,before_lateral_mean,before_posterior_mean,before_background_mean,before_lateral_median,before_posterior_median,before_background_median,after_lateral_mean,after_posterior_mean,after_background_mean,after_lateral_median,after_posterior_median,after_background_median
1,0,20201119_Oocyte3,3930.799,4056.980,3223.786,3924,4046.500,3225.000,3655.017,3715.329,3223.413,3648.000,3703.000,3220.500
2,0,20201119_Oocyte5,4022.343,4016.867,3227.553,4013,4007.000,3226.500,3670.935,3653.211,3215.515,3664.500,3645.500,3214.000
3,0,20201119_Oocyte7,4428.099,4341.903,3230.697,4417,4330.000,3229.000,3863.986,3973.203,3225.200,3851.000,3960.000,3225.000
4,0,20201120_Oocyte3,4336.002,4398.165,3248.993,4326,4421.500,3248.500,3775.513,3836.043,3229.861,3768.000,3825.500,3231.000
5,0,20201124_Oocyte1,4731.775,4921.975,3227.375,4733,4906.000,3227.000,4163.270,4297.595,3238.634,4154.000,4290.500,3237.000
6,0,20201126_Oocyte1,4399.340,4502.096,3239.545,4394,4492.000,3240.000,3870.739,3854.017,3242.452,3863.000,3835.000,3244.000
7,0,20201126_Oocyte3,4434.250,4443.732,3239.526,4425,4428.000,3236.000,4083.025,4090.811,3234.393,4056.000,4084.000,3234.000
8,0,20201127_Oocyte1,4359.732,4485.645,3249.404,4383,4480.000,3249.000,3776.317,3982.975,3237.714,3764.000,3968.500,3238.000
9,0,20201130_Oocyte3,4045.324,4052.686,3234.719,4044,4053.000,3233.000,3672.679,3731.821,3234.349,3666.000,3724.000,3236.000
10,0,20201203_Oocyte1,3887.035,3900.485,3224.667,3902,3890.000,3223.000,3788.080,3631.882,3233.028,3783.000,3621.000,3233.000
