 ,Value
1,3.892
2,3.946
3,3.968
4,3.987
5,4.074
6,4.261
7,4.494
8,4.719
9,4.882
10,4.920
11,4.842
12,4.708
13,4.549
14,4.411
15,4.338
16,4.331
17,4.362
18,4.385
19,4.378
20,4.342
21,4.262
22,4.207
23,4.295
24,4.537
25,4.942
26,5.606
27,6.650
28,8.242
29,10.676
30,14.267
31,19.473
32,27.004
33,36.890
34,47.579
35,56.040
36,60.190
37,61.181
38,61.401
39,61.845
40,61.580
41,60.265
42,59.089
43,59.646
44,61.504
45,63.513
46,65.305
47,66.426
48,66.183
49,64.718
50,63.067
51,61.520
52,60.097
53,59.880
54,61.480
55,64.600
56,68.858
57,73.875
58,79.511
59,84.209
60,86.020
61,85.569
62,84.199
63,81.575
64,77.644
65,73.289
66,68.939
67,65.614
68,64.465
69,64.723
70,65.258
71,66.326
72,68.184
73,70.112
74,71.325
75,71.362
76,71.110
77,71.816
78,73.474
79,74.929
80,74.579
81,71.475
82,67.326
83,65.061
84,65.732
85,68.122
86,70.256
87,71.059
88,70.707
89,69.357
90,67.467
91,66.358
92,66.719
