 ,Value
1,47.022
2,48.748
3,49.615
4,49.242
5,47.856
6,46.052
7,44.134
8,42.512
9,41.817
10,42.277
11,43.838
12,46.784
13,51.394
14,57.391
15,64.520
16,72.078
17,78.497
18,82.177
19,82.382
20,80.363
21,78.247
22,77.742
23,79.310
24,82.745
25,88.591
26,95.740
27,101.142
28,102.336
29,99.648
30,95.620
31,92.360
32,90.512
33,89.420
34,87.550
35,84.036
36,80.358
37,77.412
38,74.658
39,71.575
40,68.174
41,64.883
42,62.394
43,60.945
44,60.069
45,59.348
46,58.130
47,55.896
48,52.879
49,50.276
50,48.861
51,48.167
52,47.268
53,46.431
54,46.079
55,45.816
56,45.162
57,43.631
58,41.221
59,38.300
60,35.567
61,33.665
62,32.771
63,32.522
64,32.052
65,30.863
66,28.968
67,26.972
68,25.747
69,25.618
70,26.248
71,26.903
72,26.932
73,26.003
74,24.254
75,22.094
76,20.007
77,18.432
78,17.635
79,17.680
80,18.239
81,18.768
82,19.038
83,19.262
84,19.563
85,19.868
86,19.987
87,19.955
88,20.058
89,20.336
90,20.560
91,20.702
92,20.932
