 ,Value
1,1045.139
2,1055.432
3,1053.861
4,1051.929
5,1063.266
6,1052.731
7,1050.920
8,1046.195
9,1052.845
10,1055.889
11,1058.244
12,1062.557
13,1062.917
14,1097.006
15,1102.368
16,1121.544
17,1133.980
18,1142.454
19,1173.720
20,1176.065
21,1175.979
22,1187.504
23,1175.506
24,1155.846
25,1150.784
26,1151.197
27,1151.078
28,1136.276
29,1113.252
30,1090.673
31,1058.767
32,1031.525
33,1002.790
34,987.505
35,980.090
36,992.226
37,1004.933
38,1012.403
39,1022.240
40,1046.231
41,1064.455
42,1097.167
43,1116.557
44,1152.051
45,1170.752
46,1183.424
47,1170.371
48,1160.921
49,1134.000
50,1114.356
51,1100.040
52,1081.917
53,1062.967
54,1077.674
55,1101.108
56,1120.806
57,1102.840
58,1061.769
59,1010.174
60,958.472
61,942.046
62,907.796
63,885.493
64,870.568
65,897.193
66,927.995
67,974.194
68,999.052
69,1015.822
70,1033.114
71,1040.153
72,1038.590
73,1053.123
74,1037.749
75,1042.144
76,1032.458
77,1003.660
78,949.107
79,920.600
80,912.751
81,900.838
82,930.000
83,947.183
84,962.454
85,983.208
86,1015.054
87,1003.562
88,993.315
89,990.829
90,1002.815
91,1006.727
92,1022.253
