 ,Value
1,1.262
2,1.293
3,1.326
4,1.353
5,1.367
6,1.362
7,1.341
8,1.319
9,1.310
10,1.304
11,1.297
12,1.288
13,1.285
14,1.293
15,1.316
16,1.329
17,1.315
18,1.284
19,1.254
20,1.243
21,1.246
22,1.271
23,1.331
24,1.421
25,1.518
26,1.591
27,1.637
28,1.673
29,1.717
30,1.767
31,1.809
32,1.840
33,1.872
34,1.921
35,1.992
36,2.093
37,2.229
38,2.391
39,2.564
40,2.713
41,2.830
42,2.970
43,3.278
44,4.060
45,5.860
46,9.597
47,16.994
48,30.873
49,55.601
50,95.717
51,155.626
52,235.750
53,317.430
54,371.413
55,378.914
56,350.337
57,305.167
58,254.569
59,208.146
60,168.436
61,138.789
62,118.578
63,103.577
64,90.656
65,79.874
66,71.424
67,64.749
68,58.991
69,54.531
70,51.425
71,49.028
72,47.113
73,45.560
74,44.314
75,43.332
76,42.222
77,40.617
78,39.300
79,39.350
80,41.240
81,44.500
82,48.978
83,54.424
84,59.140
85,60.843
86,58.664
87,55.245
88,53.059
89,52.676
90,53.264
91,53.764
92,54.307
