 ,Value
1,1.213
2,1.230
3,1.256
4,1.260
5,1.231
6,1.178
7,1.126
8,1.094
9,1.090
10,1.122
11,1.188
12,1.285
13,1.406
14,1.537
15,1.657
16,1.733
17,1.735
18,1.687
19,1.644
20,1.635
21,1.638
22,1.620
23,1.567
24,1.492
25,1.411
26,1.352
27,1.335
28,1.378
29,1.487
30,1.655
31,1.872
32,2.130
33,2.403
34,2.679
35,2.968
36,3.294
37,3.650
38,4.023
39,4.430
40,4.874
41,5.352
42,5.912
43,6.666
44,7.740
45,9.234
46,11.403
47,14.616
48,18.897
49,24.151
50,30.691
51,39.276
52,51.936
53,71.960
54,103.077
55,146.718
56,196.753
57,240.037
58,266.344
59,276.647
60,277.416
61,274.892
62,272.776
63,262.040
64,231.731
65,186.815
66,142.857
67,110.083
68,89.696
69,78.282
70,72.681
71,70.439
72,69.472
73,68.439
74,67.243
75,66.827
76,69.261
77,74.982
78,81.337
79,84.291
80,82.575
81,78.193
82,74.092
83,72.114
84,71.879
85,71.685
86,70.496
87,69.011
88,67.818
89,66.832
90,65.777
91,64.343
92,63.203
