 ,Value
1,1112.364
2,1086.715
3,1090.445
4,1119.044
5,1123.874
6,1137.093
7,1144.184
8,1153.083
9,1147.679
10,1146.361
11,1137.130
12,1124.208
13,1105.645
14,1113.251
15,1106.655
16,1103.105
17,1101.005
18,1114.721
19,1092.491
20,1050.862
21,1013.961
22,980.691
23,978.915
24,977.794
25,981.751
26,973.589
27,987.057
28,981.637
29,981.449
30,989.409
31,992.578
32,1021.877
33,1068.448
34,1134.390
35,1220.608
36,1284.912
37,1353.735
38,1394.717
39,1421.641
40,1402.480
41,1285.151
42,1113.666
43,947.560
44,832.185
45,768.271
46,758.085
47,744.240
48,755.289
49,771.868
50,792.817
51,841.035
52,917.655
53,995.606
54,1034.585
55,1082.498
56,1145.553
57,1174.659
58,1175.195
59,1115.667
60,1092.376
61,1077.289
62,1090.613
63,1111.315
64,1156.313
65,1184.390
66,1231.136
67,1226.065
68,1189.030
69,1164.278
70,1130.533
71,1093.957
72,1061.385
73,1028.183
74,993.182
75,964.839
76,964.679
77,991.466
78,989.830
79,994.863
80,1006.942
81,1017.680
82,1047.313
83,1051.882
84,1026.046
85,1018.065
86,1004.843
87,1006.282
88,985.430
89,970.156
90,951.405
91,930.929
92,947.437
