 ,Value
1,657.703
2,673.592
3,694.400
4,687.382
5,680.552
6,663.015
7,632.600
8,602.710
9,569.517
10,544.220
11,543.333
12,536.406
13,561.789
14,577.560
15,631.020
16,647.990
17,677.884
18,681.987
19,689.916
20,694.347
21,702.306
22,694.942
23,668.311
24,646.416
25,630.124
26,619.015
27,592.353
28,584.458
29,580.852
30,581.839
31,584.086
32,573.601
33,558.455
34,583.126
35,641.234
36,719.088
37,781.058
38,790.140
39,767.387
40,712.322
41,636.064
42,566.880
43,505.543
44,467.616
45,463.181
46,473.028
47,469.913
48,490.501
49,521.927
50,589.054
51,651.473
52,716.273
53,760.380
54,785.341
55,767.978
56,730.284
57,668.045
58,626.349
59,594.394
60,573.053
61,551.169
62,539.713
63,541.954
64,564.696
65,589.423
66,603.215
67,581.888
68,554.279
69,529.557
70,520.877
71,532.101
72,537.406
73,552.795
74,554.687
75,536.861
76,511.966
77,503.393
78,504.303
79,504.822
80,506.025
81,511.789
82,520.215
83,529.202
84,532.576
85,548.920
86,581.791
87,615.366
88,654.883
89,694.573
90,720.624
91,722.009
92,715.784
