 ,Value
1,1217.167
2,1219.477
3,1227.760
4,1218.746
5,1211.165
6,1215.506
7,1194.803
8,1189.749
9,1169.138
10,1171.054
11,1162.806
12,1132.887
13,1128.207
14,1117.028
15,1104.346
16,1082.557
17,1081.131
18,1071.519
19,1068.086
20,1055.879
21,1029.984
22,1022.352
23,1003.035
24,1013.310
25,1019.027
26,1012.873
27,1053.977
28,1075.774
29,1101.182
30,1114.421
31,1143.643
32,1156.813
33,1178.273
34,1207.917
35,1219.458
36,1229.566
37,1236.565
38,1222.101
39,1212.444
40,1203.073
41,1169.253
42,1146.169
43,1129.702
44,1108.728
45,1084.894
46,1062.956
47,1057.518
48,1067.630
49,1064.601
50,1068.002
51,1071.338
52,1055.501
53,1073.583
54,1062.170
55,1049.828
56,1038.618
57,1059.829
58,1075.050
59,1102.678
60,1108.978
61,1110.521
62,1096.452
63,1077.554
64,1068.648
65,1052.466
66,1071.767
67,1071.853
68,1080.411
69,1076.738
70,1081.371
71,1059.720
72,1047.216
73,1051.531
74,1051.464
75,1064.984
76,1062.534
77,1086.556
78,1123.832
79,1145.173
80,1157.334
81,1150.971
82,1135.199
83,1091.153
84,1026.878
85,980.397
86,949.810
87,928.681
88,930.370
89,909.421
90,886.231
91,870.072
92,876.113
