 ,Value
1,17.350
2,17.509
3,17.513
4,17.652
5,18.235
6,19.374
7,20.931
8,22.563
9,23.987
10,25.091
11,25.809
12,26.162
13,26.296
14,26.402
15,26.849
16,27.817
17,29.143
18,30.652
19,32.264
20,33.755
21,34.845
22,35.800
23,37.027
24,38.757
25,40.845
26,43.146
27,45.814
28,48.552
29,50.970
30,53.033
31,55.064
32,57.647
33,60.887
34,64.786
35,68.327
36,69.356
37,66.348
38,59.675
39,50.945
40,41.660
41,33.106
42,26.123
43,20.808
44,17.070
45,14.745
46,13.666
47,13.883
48,15.780
49,20.191
50,28.258
51,40.993
52,58.263
53,77.928
54,95.871
55,107.732
56,111.278
57,108.655
58,104.141
59,101.632
60,101.645
61,102.315
62,102.811
63,103.181
64,103.003
65,101.677
66,98.825
67,95.465
68,93.597
69,93.626
70,93.288
71,91.044
72,87.889
73,84.518
74,81.111
75,78.050
76,75.452
77,73.034
78,70.873
79,69.174
80,67.394
81,64.978
82,61.769
83,58.272
84,55.569
85,54.452
86,55.142
87,57.047
88,59.204
89,61.310
90,63.677
91,67.308
92,72.650
